quarter_end,earnings_yield,ev_ebitda,pb_ratio,dividend_yield,roic,roe,ebitda_margin,evs,beta,volatility,debt_to_equity,current_ratio
2014-09-30,-0.047735772949569544,-35.2148,0.68096,,,-0.032506220867066206,,,,,0.9687729996845758,1.6875619776172261
2014-12-31,-0.12377539716430565,-15.63879,0.41563,,,-0.051444699763775976,,,,,1.129739767380488,1.6334942353524722
2015-03-31,0.03610585369763658,5.78234,0.41021,,,0.014811325692154707,,,,,1.310511200083739,1.5224272070297369
2015-06-30,-0.022098348700893326,29.86614,0.52946,,,-0.01169995119633617,,,,,1.3430671325100274,1.594297984015269
2015-09-30,-0.0635801068018634,15.35534,0.32069,,,-0.020389577362173606,,,,,1.7409461753647992,1.6075611334408808
2015-12-31,-0.3490949712869386,-10.98099,0.3348,,,-0.1168766719652619,,,,,1.9107858721358508,1.5199243537805185
2016-03-31,-0.0035401197523388865,5.08005,0.40401,,,-0.0014302714512562738,,,,,1.68935329957242,1.3609317128552552
2016-06-30,0.007404458787374745,11.04246,0.44103,,,0.0032656234107783736,,,,,1.4448658152071254,1.584887847898567
2016-09-30,-0.09628957742356052,-34.71618,0.66752,,,-0.06427470078163165,,,,,1.5196209391792868,1.7475914523723288
2016-12-31,0.017103562928711492,5.05914,0.7583,,,0.012969696490110507,,,,,1.5263884657537499,1.797614794189757
2017-03-31,0.025739131330056744,7.28157,0.71688,,,0.018451841729490704,,,1.817126702362576,0.49556083689854613,1.4001366518755085,1.7082457280477084
2017-06-30,-0.028319321876846066,14.35692,0.61052,,,-0.017289311644150353,,,1.7380176283277085,0.4566527842796282,1.4420664460987043,2.0357163274639833
2017-09-30,0.0018156862729433296,56.40664,0.7455,,,0.001353399944805477,,,1.661826356534492,0.42386594988025716,1.358737935649235,2.02029530653492
2017-12-31,-0.0013155279432671735,5.18746,0.76967,,,-0.0010125774733039327,,,1.5121690980526235,0.36466573430968174,1.3407675559792143,1.8890046646877083
2018-03-31,0.025820177952666452,9.39141,0.9935,,,0.02565228818410602,,,1.5215184663831958,0.36049729442340367,1.227633904944321,1.8614880434226022
2018-06-30,0.011581733567778505,23.04768,0.77077,,,0.008926831983523977,,,1.7191459928508155,0.47291528618509365,1.2302155520302802,1.704154803955156
2018-09-30,-0.010253200741675529,23.19708,0.91778,0.23708,,-0.009409977209420106,,,1.6883710243156889,0.4860015100580972,1.1911910188233308,1.5966600051024746
