quarter_end,pe_ratio,pb_ratio,roe,roa,ev_ebitda,dividend_yield,revenue,ebitda,net_income,total_debt,equity,total_assets,current_assets,current_liabilities,inventory,current_ratio,quick_ratio,debt_to_equity,net_margin,asset_turnover,tax_provision,pre_tax_income
2012-06-30,-21.0705,0.70248,-0.033339437003175106,-0.01799023694180266,-137.26742,,1913239000,,-11298369000,179175248000.0,338889016000.0,628027804000.0,116320631000.0,62912120000.0,30159055000.0,1.8489383444716216,1.3695544833014688,0.5287136482464218,-5.9053620587914,0.003046424040168769,-319674000,-13923089000
2012-09-30,38.87595,0.84668,0.02177893609584897,0.011607036650350443,30.0464,,5745663000,,7506075000,186556437000.0,344648378000.0,646683148000.0,125807690000.0,64248495000.0,30355707000.0,1.958142210179398,1.4856687771441184,0.5412949803582131,1.3063897064620742,0.008884819432468032,-2587862000,9774263000
2012-12-31,16.6163,0.73713,0.044361563695127296,0.02261119777397352,8.90049,,207586549000,,15323977000,196313349000.0,345433653000.0,677716287000.0,118101812000.0,69620583000.0,29735948000.0,1.696363444701404,1.26924912421374,0.5683098542804688,0.07381970110211718,0.30630302529530323,-942179000,19530224000
2013-03-31,30.55024,0.70889,0.023204109202003498,0.011268613480448861,14.60592,,72535347000,,7835215000,196933959000.0,337664977000.0,695313138000.0,116893309000.0,68529092000.0,31801612000.0,1.7057472321390161,1.2416872092804032,0.5832229351994654,0.10801926679967493,0.1043204033345908,-3560462000,11395677000
2013-06-30,-97.88264,0.62072,-0.006341591132440437,-0.002878802888752588,24.90729,,1090903000,,-2156303000,249040586000.0,340025548000.0,749027663000.0,144710024000.0,68163988000.0,31097263000.0,2.122968861504993,1.6667563670130334,0.7324172770688395,-1.9766221194735003,0.001456425515221592,-2266469000,-3450296000
2013-09-30,-112.08791,0.69803,-0.0062277393760827296,-0.0028173241259554136,114.69689,,4074068000,,-2136751000,250865895000.0,343102187000.0,758432791000.0,137242598000.0,69960159000.0,33570386000.0,1.961725072694589,1.4818750197523136,0.731169617989057,-0.5244760274006227,0.005371692849182203,-1424772000,-2978448000
2013-12-31,11.44634,0.63779,0.0557195738387484,0.025850712392386236,6.21072,,227189616000,,19464724000,267820895000.0,349333684000.0,752966638000.0,123350379000.0,82524531000.0,33323520000.0,1.4947116633719493,1.0909102773331727,0.7666620977781232,0.08567611646475955,0.3017260055551093,2104313000,23187342000
2014-03-31,35.5774,0.57858,0.016262601468464786,0.007214007855806604,13.82904,,81544805000,,5785740000,308146801000.0,355769648000.0,802014652000.0,159665082000.0,83746333000.0,35259679000.0,1.906532217953949,1.4855026906073607,0.8661413437944543,0.07095166884021613,0.10167495668146471,-1802824000,7588564000
2014-06-30,-374.72909,0.61519,-0.001641839664310954,-0.0007430813248872397,25.45294,,753195000,,-594740000,307712000000.0,362240000000.0,800370000000.0,144270000000.0,75256000000.0,37408000000.0,1.917056447326459,1.4199798022749017,0.8494699646643109,-0.7896228732267209,0.000941058510438922,-2676176000,278436000
2014-09-30,-20.94865,0.68096,-0.032506220867066206,-0.013644036526299402,-35.2148,,6079000000,,-11130000000,331704000000.0,342396000000.0,815741000000.0,142950000000.0,84708000000.0,32437000000.0,1.6875619776172261,1.30463474524248,0.9687729996845758,-1.8308932390195756,0.007452120219530464,-117000000,-13689000000
